Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
56,4521915,2,BRICK 1X1,Earth Green,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,6618073,4271434 4496290,3005 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4521915
57,4245570,18,BRICK 1X2,Earth Green,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6618072,,3004 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4245570
58,4245571,11,BRICK 1X4,Earth Green,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,yes,6618074,,3010 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4245571
59,4514846,1,(not listed),Medium Stone Grey,60479,Plate 1 x 12,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,60479 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4514846
60,4211396,10,PLATE 2X3,Medium Stone Grey,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211396
61,4211406,10,PLATE 2X8,Medium Stone Grey,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3034 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211406
62,4211400,4,PLATE 6X12,Medium Stone Grey,3028,Plate 6 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,1.34,2022,,,,3028 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211400
63,4211242,3,BRICK 1X1,Reddish Brown,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,,3005 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211242
64,4211225,3,BRICK 1X4,Reddish Brown,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,,,,3010 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211225
65,4211183,8,ROUND BRICK 1X1,Reddish Brown,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211183
